2026-01-02 18:06:07 | DEBUG    | src.services.framework.service_registry            | Registered: AddLinkedSourcesTask
2026-01-02 18:06:11 | DEBUG    | src.services.framework.service_registry            | Registered: AffiliateLinkerTask
2026-01-02 18:06:11 | DEBUG    | src.services.framework.service_registry            | Registered: AffiliateLinkAdderTask
2026-01-02 18:06:11 | DEBUG    | src.services.framework.service_registry            | Registered: AmazonLinkRemoverTask
2026-01-02 18:06:11 | DEBUG    | src.services.framework.service_registry            | Registered: ArticleCacheTask
2026-01-02 18:06:11 | DEBUG    | src.services.framework.service_registry            | Registered: ArticleConceptDefiner
2026-01-02 18:06:11 | DEBUG    | src.services.framework.service_registry            | Registered: ArticleContentGenerator
2026-01-02 18:06:11 | DEBUG    | src.services.framework.service_registry            | Registered: ArticleReviewer
2026-01-02 18:06:11 | DEBUG    | src.services.framework.service_registry            | Registered: ArticleReviser
2026-01-02 18:06:11 | DEBUG    | src.services.framework.service_registry            | Registered: ArticleStrategyPlanner
2026-01-02 18:06:12 | DEBUG    | src.services.framework.service_registry            | Registered: BlogContextResolverTask
2026-01-02 18:06:12 | DEBUG    | src.services.framework.service_registry            | Registered: BlogContextUpdaterTask
2026-01-02 18:06:12 | DEBUG    | src.services.framework.service_registry            | Registered: BlogSelectorTask
2026-01-02 18:06:12 | DEBUG    | src.services.framework.service_registry            | Registered: BlogSelectorTaskV2
2026-01-02 18:06:12 | DEBUG    | src.services.framework.service_registry            | Registered: ChatHistoryManager
2026-01-02 18:06:12 | DEBUG    | src.services.framework.service_registry            | Registered: ClearGeminiMode
2026-01-02 18:06:12 | INFO     | src.services.multi_channel_line_manager            | [登録] chanmotocaffe (ID: 2006378351)
2026-01-02 18:06:12 | INFO     | src.services.multi_channel_line_manager            | [登録] FX Channel Bot (ID: 2007594340)
2026-01-02 18:06:12 | INFO     | src.services.multi_channel_line_manager            | [登録] lang (ID: 2007819423)
2026-01-02 18:06:12 | INFO     | src.services.multi_channel_line_manager            | 合計 3 チャンネル登録
2026-01-02 18:06:12 | DEBUG    | src.services.framework.service_registry            | Registered: CommandParserTask
2026-01-02 18:06:12 | DEBUG    | src.services.framework.service_registry            | Registered: ConditionalBranchTask
2026-01-02 18:06:12 | DEBUG    | src.services.framework.service_registry            | Registered: ConsoleNotifier
2026-01-02 18:06:12 | DEBUG    | src.services.framework.service_registry            | Registered: DatabaseFetcher
2026-01-02 18:06:12 | DEBUG    | src.services.framework.service_registry            | Registered: DraftPersister
2026-01-02 18:06:12 | DEBUG    | src.services.framework.service_registry            | Registered: FactChecker
2026-01-02 18:06:12 | DEBUG    | src.services.framework.service_registry            | Registered: FinalizePostTask
2026-01-02 18:06:12 | DEBUG    | src.services.framework.service_registry            | Registered: FinalArticleEnricher
2026-01-02 18:06:12 | DEBUG    | src.services.framework.service_registry            | Registered: FinalFactCleanupTask
2026-01-02 18:06:12 | DEBUG    | src.services.framework.service_registry            | Registered: GeminiChatResponder
2026-01-02 18:06:12 | DEBUG    | src.services.framework.service_registry            | Registered: GeminiChatResponder
2026-01-02 18:06:12 | DEBUG    | src.services.framework.service_registry            | Registered: GeminiReset
2026-01-02 18:06:12 | ERROR    | src.services.framework.service_registry            | Failed to process tasks.hatena_publisher_task: unexpected indent (hatena_publisher_task.py, line 164)
2026-01-02 18:06:12 | DEBUG    | src.services.framework.service_registry            | Registered: LineChatReplyTask
2026-01-02 18:06:12 | DEBUG    | src.services.framework.service_registry            | Registered: LineNotifier
2026-01-02 18:06:12 | DEBUG    | src.services.framework.service_registry            | Registered: LineNotifier
2026-01-02 18:06:12 | DEBUG    | src.services.framework.service_registry            | Registered: LinkValidatorTask
2026-01-02 18:06:12 | DEBUG    | src.services.framework.service_registry            | Registered: LocalPublisher
2026-01-02 18:06:12 | DEBUG    | src.services.framework.service_registry            | Registered: MinimalThumbnailPreparer
2026-01-02 18:06:12 | DEBUG    | src.services.framework.service_registry            | Registered: NotePost
2026-01-02 18:06:17 | DEBUG    | src.services.framework.service_registry            | Registered: ParagraphExtractor
2026-01-02 18:06:17 | DEBUG    | src.services.framework.service_registry            | Registered: PassthroughTask
2026-01-02 18:06:17 | DEBUG    | src.services.framework.service_registry            | Registered: PressImageIcon
2026-01-02 18:06:17 | DEBUG    | src.services.framework.service_registry            | Registered: PromptPreparer
2026-01-02 18:06:17 | DEBUG    | src.services.framework.service_registry            | Registered: RagSimilarArticlesFetcher
2026-01-02 18:06:17 | DEBUG    | src.services.framework.service_registry            | Registered: RagUpdater
2026-01-02 18:06:17 | DEBUG    | src.services.framework.service_registry            | Registered: RepostContextPreparerTask
2026-01-02 18:06:17 | DEBUG    | src.services.framework.service_registry            | Registered: RepostModeCheckerTask
2026-01-02 18:06:17 | DEBUG    | src.services.framework.service_registry            | Registered: StatusUpdater
2026-01-02 18:06:17 | DEBUG    | src.services.framework.service_registry            | Registered: StructuredArticleGeneratorTask
2026-01-02 18:06:17 | DEBUG    | src.services.framework.service_registry            | Registered: StructuredDataLoaderTask
2026-01-02 18:06:17 | DEBUG    | src.services.framework.service_registry            | Registered: StyleMemoryBuilder
2026-01-02 18:06:17 | DEBUG    | src.services.framework.service_registry            | Registered: ThumbnailGenerator
2026-01-02 18:06:17 | DEBUG    | src.services.framework.service_registry            | Registered: VideoSummaryFetcher
2026-01-02 18:06:17 | DEBUG    | src.services.framework.service_registry            | Registered: WebSummaryFetcher
2026-01-02 18:06:17 | INFO     | src.services.framework.service_registry            | Total registered modules: 48
2026-01-02 18:06:17 | INFO     | __main__                                           | Application starting in SERVER mode
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\add_linked_sources_task.py as src.tasks.add_linked_sources_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: AddLinkedSourcesTask (from src.tasks.add_linked_sources_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\affiliate_linker_task.py as src.tasks.affiliate_linker_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: AffiliateLinkerTask (from src.tasks.affiliate_linker_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\affiliate_link_adder_task.py as src.tasks.affiliate_link_adder_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: AffiliateLinkAdderTask (from src.tasks.affiliate_link_adder_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\amazon_link_remover_task.py as src.tasks.amazon_link_remover_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: AmazonLinkRemoverTask (from src.tasks.amazon_link_remover_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\article_cache_task.py as src.tasks.article_cache_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: ArticleCacheTask (from src.tasks.article_cache_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\article_concept_definer_task.py as src.tasks.article_concept_definer_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: ArticleConceptDefiner (from src.tasks.article_concept_definer_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\article_content_generator_task.py as src.tasks.article_content_generator_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: ArticleContentGenerator (from src.tasks.article_content_generator_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\article_reviewer_task.py as src.tasks.article_reviewer_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: ArticleReviewer (from src.tasks.article_reviewer_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\article_reviser_task.py as src.tasks.article_reviser_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: ArticleReviser (from src.tasks.article_reviser_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\article_strategy_planner_task.py as src.tasks.article_strategy_planner_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: ArticleStrategyPlanner (from src.tasks.article_strategy_planner_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\blog_context_resolver_task.py as src.tasks.blog_context_resolver_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: BlogContextResolverTask (from src.tasks.blog_context_resolver_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\blog_context_updater_task.py as src.tasks.blog_context_updater_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: BlogContextUpdaterTask (from src.tasks.blog_context_updater_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\blog_selector_task.py as src.tasks.blog_selector_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: BlogSelectorTask (from src.tasks.blog_selector_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\blog_selector_v2_task.py as src.tasks.blog_selector_v2_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: BlogSelectorTaskV2 (from src.tasks.blog_selector_v2_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\chat_history_manager.py as src.tasks.chat_history_manager
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: ChatHistoryManager (from src.tasks.chat_history_manager)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\clear_gemini_mode_task.py as src.tasks.clear_gemini_mode_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: ClearGeminiMode (from src.tasks.clear_gemini_mode_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\command_parser_task.py as src.tasks.command_parser_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: CommandParserTask (from src.tasks.command_parser_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\conditional_branch_task.py as src.tasks.conditional_branch_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: ConditionalBranchTask (from src.tasks.conditional_branch_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\console_notifier_task.py as src.tasks.console_notifier_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: ConsoleNotifier (from src.tasks.console_notifier_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\database_fetcher_task.py as src.tasks.database_fetcher_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: DatabaseFetcher (from src.tasks.database_fetcher_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\draft_persister_task.py as src.tasks.draft_persister_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: DraftPersister (from src.tasks.draft_persister_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\fact_checker_task.py as src.tasks.fact_checker_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: FactChecker (from src.tasks.fact_checker_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\finalize_post_task.py as src.tasks.finalize_post_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: FinalizePostTask (from src.tasks.finalize_post_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\final_article_enricher_task.py as src.tasks.final_article_enricher_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: FinalArticleEnricher (from src.tasks.final_article_enricher_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\final_fact_cleanup_task.py as src.tasks.final_fact_cleanup_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: FinalFactCleanupTask (from src.tasks.final_fact_cleanup_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\gemini_chat_responder.py as src.tasks.gemini_chat_responder
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: GeminiChatResponder (from src.tasks.gemini_chat_responder)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\gemini_chat_responder_task.py as src.tasks.gemini_chat_responder_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: GeminiChatResponder (from src.tasks.gemini_chat_responder_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\gemini_reset_task.py as src.tasks.gemini_reset_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: GeminiReset (from src.tasks.gemini_reset_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\hatena_publisher_task.py as src.tasks.hatena_publisher_task
2026-01-02 18:06:17 | ERROR    | src.framework.service_registry                     | Failed to process module src.tasks.hatena_publisher_task: unexpected indent (hatena_publisher_task.py, line 164)
Traceback (most recent call last):
  File "C:\Users\motoc\hatena-blog-suite\src\framework\service_registry.py", line 64, in discover_modules
    spec.loader.exec_module(module)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^
  File "<frozen importlib._bootstrap_external>", line 1022, in exec_module
  File "<frozen importlib._bootstrap_external>", line 1160, in get_code
  File "<frozen importlib._bootstrap_external>", line 1090, in source_to_code
  File "<frozen importlib._bootstrap>", line 488, in _call_with_frames_removed
  File "C:\Users\motoc\hatena-blog-suite\src\tasks\hatena_publisher_task.py", line 164
    final_content = re.sub(r'\n{3,}', '\n\n', final_content)
IndentationError: unexpected indent
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\line_chat_reply_task.py as src.tasks.line_chat_reply_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: LineChatReplyTask (from src.tasks.line_chat_reply_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\line_notifier.py as src.tasks.line_notifier
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: LineNotifier (from src.tasks.line_notifier)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\line_notifier_task.py as src.tasks.line_notifier_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: LineNotifier (from src.tasks.line_notifier_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\link_validator_task.py as src.tasks.link_validator_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: LinkValidatorTask (from src.tasks.link_validator_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\local_publisher_task.py as src.tasks.local_publisher_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: LocalPublisher (from src.tasks.local_publisher_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\minimal_thumbnail_preparer_task.py as src.tasks.minimal_thumbnail_preparer_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: MinimalThumbnailPreparer (from src.tasks.minimal_thumbnail_preparer_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\note_post_task.py as src.tasks.note_post_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: NotePost (from src.tasks.note_post_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\paragraph_extractor_task.py as src.tasks.paragraph_extractor_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: ParagraphExtractor (from src.tasks.paragraph_extractor_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\passthrough_task.py as src.tasks.passthrough_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: PassthroughTask (from src.tasks.passthrough_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\press_image_icon_task.py as src.tasks.press_image_icon_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: PressImageIcon (from src.tasks.press_image_icon_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\prompt_preparer_task.py as src.tasks.prompt_preparer_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: PromptPreparer (from src.tasks.prompt_preparer_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\rag_similar_articles_fetcher.py as src.tasks.rag_similar_articles_fetcher
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: RagSimilarArticlesFetcher (from src.tasks.rag_similar_articles_fetcher)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\rag_updater_task.py as src.tasks.rag_updater_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: RagUpdater (from src.tasks.rag_updater_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\repost_context_preparer_task.py as src.tasks.repost_context_preparer_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: RepostContextPreparerTask (from src.tasks.repost_context_preparer_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\repost_mode_checker_task.py as src.tasks.repost_mode_checker_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: RepostModeCheckerTask (from src.tasks.repost_mode_checker_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\status_updater_task.py as src.tasks.status_updater_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: StatusUpdater (from src.tasks.status_updater_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\structured_article_generator_task.py as src.tasks.structured_article_generator_task
2026-01-02 18:06:17 | INFO     | src.framework.service_registry                     | Registered task module: StructuredArticleGeneratorTask (from src.tasks.structured_article_generator_task)
2026-01-02 18:06:17 | DEBUG    | src.framework.service_registry                     | Attempting to load module file: C:\Users\motoc\hatena-blog-suite\src\tasks\structured_data_loader_task.py as src.tasks.structured_data_loader_task
