2025-12-27T22:40:17.357384 | channel=2007594340 | events=1 | body={"destination":"Uf60973411b433ca1c567eb810fea9e15","events":[{"type":"message","message":{"type":"image","id":"593987119450947791","quoteToken":"J88eeV0p_kyCVNGMjab0FKqrgNDc6MnAu2OxbpTFoBAnU4J-TkyE4YuJIzGH4VOmb_iTX5o_XR8RnBy7nh2mXMsZGczl3GEy5S7sUOZYHHp5dFe5_mT7UAJyv54CNpvSRNdNNuPwWfg_1Spp_QY-YQ","markAsReadToken":"ZquhOv8w-J0vHy5phunW6R3ZGTAjXyJs-IfWr1ZhTVbqIiF5at3D0tX3GXL7Dion-4WOU-YX3o9Y_r2ZKzY_k7hPInR72kXbqpvfuaTnQ5xoiQe8c3A-kI5K0Z2Zs7qct0M4C4LnDKwPRORlzshbyqvbXyGiT9upWetSXL2MuALFUz-rFLi4-b-5OtF6zucMnFaff4SFeiXN1er6dKA3pg","contentProvider":{"type":"line"}},"webhookEventId":"01KDGZGF298YT57P72GPMW0CA4","deliveryContext":{"isRedelivery":false},"timestamp":1766875216869,"source":{"type":"user","userId":"U03d198f73356c158e8eb9bc4284bd982"},"replyToken":"ab9501524cf84d2d80bfd8a900b9f7ed","mode":"active"}]}
2025-12-27T22:40:38.994367 | channel=2007594340 | events=1 | body={"destination":"Uf60973411b433ca1c567eb810fea9e15","events":[{"type":"message","message":{"type":"text","id":"593987155940868599","quoteToken":"PbcS_jTVRCETXzEWbq4sdK4O7AbrqPBNta0EhIlzQsznA8CmvyeH78E1r3hXIwDz4Da27wyxipMON_QjnXajoMvX6R-l514EIeVkpDJPCvtHuhOBuZbztvMlbQh3BGE2sSzt51KtStINrxqYTNU1Lg","markAsReadToken":"XbIP_RO27MwboZuu0-42mCYHQQINJT_uRN3zIViyBdc8PLAHkUKc6wcf7FlbsXbqzlaMJKs_4eEc2aJB_BEtVGVrid_XwbSvD5JckR7H_EOSB3l96KIXwPrYJpFyePgwhEJEuKpqa5xVI2TADkCVJbASUh9iZ6P5bnazq2toe9Shus6t7hgLLa8ulR2iHMvP8xDHHT8C63VoWTwYjbeGKg","text":"正月早々 自動車の清掃に来た 昨日は5台ぐらい並んでいたので残念 今朝 朝7時半に来たら 2台 並んでたけどまあ 少ないぐらい"},"webhookEventId":"01KDGZH4ESQMY06G6GYFDRH1NK","deliveryContext":{"isRedelivery":false},"timestamp":1766875238373,"source":{"type":"user","userId":"U03d198f73356c158e8eb9bc4284bd982"},"replyToken":"7d3534610d9c42168b5e79d779fcc862","mode":"active"}]}
2025-12-28T00:00:55.388839 | channel=2007594340 | events=1 | body={"destination":"Uf60973411b433ca1c567eb810fea9e15","events":[{"type":"message","message":{"type":"image","id":"593995236116529753","quoteToken":"RuFC7qRM_DHjUDssMNJpvCnxQSOUAqw3yMs_bh-_7_R02cdcj3RmlJ_YWsjqHiiDI1SurX6NOEjInhBcbGpayhk71wPPn3Se7KnEZmawzUNQejbJ3QrZqxVr9xKuVbNGj9LEc_E_967zXBCMro3rag","markAsReadToken":"eJpVRLIJhubqzjikGWl_nPDcVbA3bDFF-oYAOE35nEjAOYvpMEKJndfYZ4mjQz13xj6ofBxfvafHbNsaH5AUjny_TBQbPfOwvQ8jYgW8ghVpUjBEw_kT4m4GIjGSt0o2SMGN7FOL7FxX6IUWpyS7EDIh5b6EgActXdXtSkZp5BgqMPYaUkPZPlQYoAP2HQnarINY-t6cYNrsRgDp8BbuNw","contentProvider":{"type":"line"}},"webhookEventId":"01KDH443QDM9GAJ3G43ETH7B7R","deliveryContext":{"isRedelivery":false},"timestamp":1766880054580,"source":{"type":"user","userId":"U03d198f73356c158e8eb9bc4284bd982"},"replyToken":"34968cca45c144a5a9fbc12b86abe0a8","mode":"active"}]}
2025-12-28T00:01:00.973462 | channel=2007594340 | events=1 | body={"destination":"Uf60973411b433ca1c567eb810fea9e15","events":[{"type":"message","message":{"type":"text","id":"593995246434779535","quoteToken":"4SK5gbefro_gVhGr9TivXKDsPoL9uxpPDKjsU2DiIhWwvpZbh918wztLTX7B2RR1DXD_91Bk_1bW_Ak-aqbaxTjlSNtlJR4UoP8OPSXm62xyZA2mwGBzPAuffkta4lDea4fAi7vqB9_S3ztZXNY9xg","markAsReadToken":"eUiWKM2UJubMvhgxRs_udc_R2RehDdbBRGBxKZ1ulK5fxDRKRVBgrSJBDUjI9wpIGOoYBuXkHowJHBUJuhIIOjxLaRjz1HIreRYGOkv4h4YMu6SPSbgFZXeP5zDeXiWXI1wlc5yJvBRqfKIjqwvq8jceM9fyEivyHhanz2CF-_AfgshKNPk8ciaHy9CHzz9NXxWfLTaY4jenW5XUPBRfwg","text":"息子からの提案"},"webhookEventId":"01KDH449BZYK9ZG3YD53GW7YY7","deliveryContext":{"isRedelivery":false},"timestamp":1766880060776,"source":{"type":"user","userId":"U03d198f73356c158e8eb9bc4284bd982"},"replyToken":"29150a5f6ea944cb867a8db5d3dc51aa","mode":"active"}]}
2025-12-28T00:18:21.827775 | channel=2007594340 | events=1 | body={"destination":"Uf60973411b433ca1c567eb810fea9e15","events":[{"type":"message","message":{"type":"image","id":"593996992657490006","quoteToken":"f-zHVeqxO0LeVOgAwTTo7-Je_4rxdoRK86Fdx-FrUzLeiMaUKq69zlHCB8C4Sd1SD0I65c405qmBAfYibp6ZW6hQsxHnNCQZ_G4gMm43LZs8nd3JaKcS9sgvI_pPUj_XPLwKu18d6bbVwfSgZC31qQ","markAsReadToken":"HgQ6cEAoxfiaGNXqu39TxmOXTmLl4yx92gzD0CxN7spGKqCyF8C044W1iyFAIEkX4X3PF-JzO-TiP1LVj0M5TUvdJFa-ngYfuBHyATyrUEswLZXialxLrn0_1v-pCKTo-7g0H2iUvf0HOB6SyFla0_Fs7XR8gguuQ0Zmuy-_bk7AXCmyC5dFrcL4r3Hn5RdAoo8rqmgFU76b9qMS8ncCjw","contentProvider":{"type":"line"}},"webhookEventId":"01KDH541WTSWR9R8TNPNRDHHXF","deliveryContext":{"isRedelivery":false},"timestamp":1766881101552,"source":{"type":"user","userId":"U03d198f73356c158e8eb9bc4284bd982"},"replyToken":"b52c7c994cb14c3e866913bb3bfa9576","mode":"active"}]}
2025-12-28T00:18:36.322584 | channel=2007594340 | events=1 | body={"destination":"Uf60973411b433ca1c567eb810fea9e15","events":[{"type":"message","message":{"type":"text","id":"593997016447844372","quoteToken":"_5Q6PyyLgq7tfKmruNCr213A5FSs261sRXarNkunzdYMb0tZCEaiBgVEzTw5o-wdurpV1oUl3aU6uqtlkicT8R8m2oeYV8AjDK_6JZ1yb39WMIHqCLNSFqcETwc3TzLB0akL8zfPfyu81mueOHP5mg","markAsReadToken":"VB4_zCKtcUXMe6s-t4wTOlGbTg6GzoO3bi75KFk2TkQE0IL7qP6MvzUxbIf-d5HTtpwL8qqzwYAY2OASYlehdD4UKmWlTnPYnDoVtbqkNh3xNL1OhNSPKtMm5W0um5eogN15b5y27CFuxHPo_TQl4Jx9R_nFgfE4BScN7DqyE4hnKOcCGN3VL_p1bWzGKh9j2mG3H3sF-nos_VmWSH3i0g","text":"これ気に入ったからまず 画像のプロンプトとして これを表現してみて何なのか そしてそれに近いものを探して"},"webhookEventId":"01KDH54G0TB969N24MRAYK5ZYS","deliveryContext":{"isRedelivery":false},"timestamp":1766881115679,"source":{"type":"user","userId":"U03d198f73356c158e8eb9bc4284bd982"},"replyToken":"fac1dacc2b774a4fa07764b058969f9e","mode":"active"}]}
2025-12-28T00:32:07.691992 | channel=2007594340 | events=1 | body={"destination":"Uf60973411b433ca1c567eb810fea9e15","events":[{"type":"message","message":{"type":"text","id":"593998378086432820","quoteToken":"L_rcQT1zboFJ_HZM94LGPhOaMCiezci24cKYIOMKu-hwIhX49WaNFFArjS956fp-6WxMFdIe-zDaJseIoADNxA3Efza1A7WjDbOP2qke0uleJd5T2iM9w4PHkumSEdxzBZAWJ1BEEmRV2b_nkBP53A","markAsReadToken":"GjrRQoaEX01b7MRrWsP3JzLSYYm6WR1AOs90aYU9HznJkMl-5watkycR6_eH_g6VdGYnt6lFxUX2sq3F7C5f4dlBWEq3RJBmruH1AJEpWDN5DvLb630ZTLIOpdHMJMZMDjlqzCN6_bU1croRBLNji0SzE304uBc7GyTwI7RszxKlckanCdk9BbjSO_vFoag4NnZkUcE_eSK0UAxrb8Y6GA","text":"息子からの提案"},"webhookEventId":"01KDH5X8CPEQVEC941FD71M8JQ","deliveryContext":{"isRedelivery":false},"timestamp":1766881927239,"source":{"type":"user","userId":"U03d198f73356c158e8eb9bc4284bd982"},"replyToken":"52b42bbc1263409194303dfa1b39b9a8","mode":"active"}]}
2025-12-28T00:32:07.764312 | channel=2007594340 | events=1 | body={"destination":"Uf60973411b433ca1c567eb810fea9e15","events":[{"type":"message","message":{"type":"image","id":"593998377902407973","quoteToken":"Yw1CtEtbNh7ZO0YONfY4VnqHWFzgzjy1LxPvbXiJ1Kn3n3bAddQa6yd_JLGR96CXNrWgo00wi41fqLx69d6Dnr4_8-DcCzTxOctu9Zo70TV8MC9A8LENHenajIjObAvxvj3Wsdq5Wk07s5s8X5Cu4g","markAsReadToken":"L4w8KYrLBphqNwnvfRzBzDZFi2GHCfxRImqemVDeo_AxDdFcW3yyuJaHGkzx-JDJ_VpzLOn8lkbo5CXQWI2DnLbp0K2K2rYGu8GEBRZUwniWn4hYsge-0dL4Bx8Vi-eQ055UGPKOn3QxqWHBINn5kmH7naM_P3ndOCaYmtcbYy0wDxWEioGJJ-FRvuo-UB1tD4xteK35DxA6QGLL2dSYfA","contentProvider":{"type":"line"}},"webhookEventId":"01KDH5X8ESKHH40045ZF1ZY1YK","deliveryContext":{"isRedelivery":false},"timestamp":1766881927382,"source":{"type":"user","userId":"U03d198f73356c158e8eb9bc4284bd982"},"replyToken":"1507ba8c68594434800421400c1ef92a","mode":"active"}]}
2025-12-28T00:33:52.317721 | channel=2007594340 | events=2 | body={"destination":"Uf60973411b433ca1c567eb810fea9e15","events":[{"type":"message","message":{"type":"image","id":"593998553324453923","quoteToken":"wAnpeTH9Z_uFe9pt4BOufsYhy4uW1_WY1ZSoMyQrq81bLmDvJzGrZQQV1ddNJKxy-Sygf0NVkKmy-JCmYzgq5rtZK7KUB_MSw0p4NRs62fF0bwc8PF97yok0RYsyA-ZXvGOkTXGBngtequsfjtTlTQ","markAsReadToken":"0DnHmeWgOIbHC8WHgR3xbwjMKvcbRZXBJJeo3pItq7zWT2WMZjonnb4BoRq87MWvUR1mvuPSP0m6tFUBd4b76gGkQuKBHu1oUaWUV3qoDxBy6BlvKVD7rfUKuaweyqDIQ-9Xh3Y1D6zIdiV3y8lXeEB1zF-ddz_jouS4rhtU5GYEhVnucyE23sqjU1fU8aLmW56wacW6ug0WktkcEIIOIA","contentProvider":{"type":"line"}},"webhookEventId":"01KDH60EGM1NVTM71PJ0NVP4KE","deliveryContext":{"isRedelivery":false},"timestamp":1766882031790,"source":{"type":"user","userId":"U03d198f73356c158e8eb9bc4284bd982"},"replyToken":"a8d2c3740a594e4f9355f7c144a7df28","mode":"active"},{"type":"message","message":{"type":"text","id":"593998553290899968","quoteToken":"po4p61v0lsaBkmLRo6yYk-T9oTE23o3Z8bt6vICQLU7XopT-y82bWUwX-97aBU7zlCkLUIR1cFjurT4_GipN5ybLIHZmpIYPOQfQoFUEo6LT2_xxrulRACuSqMuD166nlBmqNESu6dfHw4P5ssJRCA","markAsReadToken":"ZNTO_GdIuLYw5aVuuHiDUpoCf8U6sAnSWswyTFfXuSdvqkJMGIxzjLHOQllCnn0_QPd7LMUUyUWc2xe5VIS0V-1g-zLMfvvvRcfh-hG5e2PEowh-WM3NxbWf_FepoZ8SrtWNVGv1xyZXwcb8uIg4GZHJWrjd0YC7XBI0f_sVu5lc8BWd-ql85BxAOd0ZX3A1XTRQLdqWDI1JNQWQ4dI8tQ","text":"息子からの提案"},"webhookEventId":"01KDH60EHRW7VVVP1HYKX8Q77V","deliveryContext":{"isRedelivery":false},"timestamp":1766882031676,"source":{"type":"user","userId":"U03d198f73356c158e8eb9bc4284bd982"},"replyToken":"8c3314536c364344847376755f341db4","mode":"active"}]}
2025-12-28T00:39:43.370283 | channel=2007594340 | events=1 | body={"destination":"Uf60973411b433ca1c567eb810fea9e15","events":[{"type":"message","message":{"type":"text","id":"593999142137626902","quoteToken":"1WDavZUb3DDX6dN5ZnUHljUNDGVFslWKf-ytB9dxznZUsRF0185r9Zc-u1jBdzOAVIYCmp-1aev5Gpewk5AqVpr6JBpLtNz_t6dyjxBEuXMvAiiwqDIYkAw1KEnSOCsVIsTrYPPL1OI7Mnpr2SElQw","markAsReadToken":"e-sLOhu9apCI_KlE0UPrEv-YxXI7HIfhu3GOTDo0j6p8tzMT0CgDbubtcFvCP6-jFjjjWELXUwM721OgFDbodVs1sn9VUU_elvOAezq4xkv0B6vuzaT0STnFcLtBLI21pVAqyWKpXeRO7j52qvmqGcfOThL153KaNeRcldXyI8lhfXPdN0VsBBTlfDMpmb3Vuum71ifKAN0ROqnl7DujWA","text":"息子からの提案"},"webhookEventId":"01KDH6B53CNFQNCJ61W71SRDTH","deliveryContext":{"isRedelivery":false},"timestamp":1766882382721,"source":{"type":"user","userId":"U03d198f73356c158e8eb9bc4284bd982"},"replyToken":"4a5e15772a3247dcad7c8e9859adf1e5","mode":"active"}]}
2025-12-28T00:39:43.575470 | channel=2007594340 | events=1 | body={"destination":"Uf60973411b433ca1c567eb810fea9e15","events":[{"type":"message","message":{"type":"image","id":"593999142222299258","quoteToken":"dXYHdKHnwRcbvFUY9OMxBRfWHiEC9CXN_EIU9JvbqJY59ea8kz2DMuwCeMHdXpnTcw-_QmVm8PNYEyMVkdHOdBgKT6G0MLeZySanu4wQtxiHnX_iN3D1BNi5ZpBqqav7GK7y1krzaMoqg17J5lLOew","markAsReadToken":"5Uwq18ZUF0J9YUDF9aX4Ibfcuu78CGmGXJfSrvFz2Z4ooBCCnntpPWtcZmvjlQjm58qrc964LYoX6SkF-zwkcOch8P88jw9DCKPjTRfhdLKvu5dJug2eLWLI54qdtHs4qjxn0KPr3yIPOGaHAYUzU6yfuTy-w0dVxTVN5pX7XRcYcyXuFjVRfE_ERTB2TJjEZ2lIklE0qxWO66iqEgwcPg","contentProvider":{"type":"line"}},"webhookEventId":"01KDH6B5F7PH7EE0YCWSH6JYAX","deliveryContext":{"isRedelivery":false},"timestamp":1766882382831,"source":{"type":"user","userId":"U03d198f73356c158e8eb9bc4284bd982"},"replyToken":"41a5aec7ae03463f9352201d13dcdfc4","mode":"active"}]}
